name,cpumark,single_thread,cores,threads
AArch64,833.0,368.0,4,1
AArch64 rev 2 (aarch64),2409.0,903.0,8,1
AArch64 rev 4 (aarch64),1815.0,588.0,8,1
AC8257V/WAB,827.0,491.0,8,1
AC8259V/WAB,956.0,512.0,8,1
Allwinner A133,680.0,412.0,4,1
Allwinner A333,1325.0,717.0,5,1
Allwinner A523,1910.0,586.0,8,1
Allwinner A527,2187.0,661.0,8,1
Allwinner A733,3095.0,1347.0,8,1
Allwinner H618,667.0,394.0,4,1
Allwinner h728,1953.0,616.0,8,1
AMD 3015Ce,2099.0,1337.0,2,2
AMD 3015e,2618.0,1294.0,2,2
AMD 3020e,2396.0,1381.0,2,1
AMD 4700S,17650.0,2350.0,8,2
AMD A10 Micro-6700T APU,1426.0,722.0,4,1
AMD A10 PRO-7350B APU,1862.0,889.0,4,1
AMD A10 PRO-7800B APU,3310.0,1496.0,2,2
AMD A10 PRO-7850B APU,3441.0,1565.0,2,2
AMD A10-4600M APU,1947.0,1084.0,2,2
AMD A10-4655M APU,1654.0,889.0,2,2
AMD A10-4657M APU,1759.0,940.0,4,1
AMD A10-5700 APU,2754.0,1431.0,2,2
AMD A10-5745M APU,1773.0,943.0,4,1
AMD A10-5750M APU,2045.0,1165.0,4,1
AMD A10-5757M APU,1994.0,1150.0,4,1
AMD A10-5800B APU,2998.0,1557.0,2,2
AMD A10-5800K APU,2967.0,1492.0,2,2
AMD A10-6700 APU,3114.0,1603.0,4,1
AMD A10-6700T APU,2299.0,1290.0,2,2
AMD A10-6790B APU,1593.0,871.0,4,1
AMD A10-6790K APU,3112.0,1554.0,2,2
AMD A10-6800B APU,3155.0,1666.0,2,2
AMD A10-6800K APU,3189.0,1588.0,2,2
AMD A10-7300 APU,1743.0,863.0,4,1
AMD A10-7400P,2134.0,1036.0,4,1
AMD A10-7700K APU,3183.0,1424.0,2,2
AMD A10-7800 APU,3217.0,1455.0,2,2
AMD A10-7850K APU,3391.0,1496.0,2,2
AMD A10-7860K,3218.0,1457.0,2,2
AMD A10-7870K,3511.0,1539.0,2,2
AMD A10-7890K,3534.0,1586.0,2,2
AMD A10-8700P,2254.0,1164.0,2,2
AMD A10-8750,3205.0,1489.0,2,2
AMD A10-8850,3467.0,1616.0,2,2
AMD A10-9600P,2318.0,1131.0,4,1
AMD A10-9620P,2521.0,1262.0,4,1
AMD A10-9630P,3041.0,1422.0,4,1
AMD A10-9700,3558.0,1621.0,4,1
AMD A10-9700E,3250.0,1511.0,4,1
AMD A12-9700P,2422.0,1213.0,4,1
AMD A12-9720P,2631.0,1289.0,4,1
AMD A12-9730P,3005.0,1424.0,4,1
AMD A12-9800,3701.0,1709.0,2,2
AMD A12-9800E,3416.0,1566.0,4,1
AMD A4 Micro-6400T APU,1082.0,540.0,4,1
AMD A4 PRO-3340B,1719.0,697.0,4,1
AMD A4 PRO-7300B APU,1452.0,1417.0,1,2
AMD A4 PRO-7350B,1512.0,1357.0,1,2
AMD A4-1200 APU,375.0,304.0,2,1
AMD A4-1250 APU,421.0,328.0,2,1
AMD A4-1350 APU,911.0,345.0,4,1
AMD A4-3300 APU,962.0,996.0,2,1
AMD A4-3300M APU,728.0,789.0,2,1
AMD A4-3305M APU,767.0,836.0,2,1
AMD A4-3310MX APU,800.0,839.0,2,1
AMD A4-3320M APU,668.0,708.0,2,1
AMD A4-3330MX APU,761.0,921.0,2,1
AMD A4-3400 APU,1075.0,1068.0,2,1
AMD A4-3420 APU,1067.0,1119.0,2,1
AMD A4-4000 APU,1155.0,1126.0,1,2
AMD A4-4020 APU,1269.0,1218.0,2,1
AMD A4-4300M APU,967.0,984.0,1,2
AMD A4-4355M APU,801.0,799.0,2,1
AMD A4-5000 APU,1286.0,503.0,4,1
AMD A4-5050 APU,1328.0,538.0,4,1
AMD A4-5100 APU,1301.0,530.0,4,1
AMD A4-5150M APU,969.0,946.0,2,1
AMD A4-5300 APU,1364.0,1332.0,2,1
AMD A4-5300B APU,1246.0,1247.0,2,1
AMD A4-6210 APU,1493.0,601.0,4,1
AMD A4-6250J APU,1619.0,677.0,4,1
AMD A4-6300 APU,1435.0,1397.0,1,2
AMD A4-6300B APU,1328.0,1373.0,1,2
AMD A4-6320 APU,1532.0,1520.0,1,2
AMD A4-7210 APU,1667.0,721.0,4,1
AMD A4-7300 APU,1543.0,1479.0,1,2
AMD A4-9120,1222.0,1062.0,2,1
AMD A4-9120C,885.0,888.0,2,1
AMD A4-9120e,854.0,751.0,2,1
AMD A4-9125,1200.0,1031.0,2,1
AMD A6 Micro-6500T APU,1146.0,630.0,4,1
AMD A6 PRO-7050B APU,971.0,844.0,2,1
AMD A6 PRO-7400B,1640.0,1494.0,1,2
AMD A6-1450 APU,1062.0,442.0,4,1
AMD A6-3400M APU,1230.0,703.0,4,1
AMD A6-3410MX APU,1274.0,734.0,4,1
AMD A6-3420M APU,1311.0,778.0,4,1
AMD A6-3430MX APU,1389.0,776.0,4,1
AMD A6-3500 APU,1439.0,964.0,3,1
AMD A6-3600 APU,1750.0,915.0,4,1
AMD A6-3620 APU,1891.0,986.0,4,1
AMD A6-3650 APU,2098.0,1049.0,4,1
AMD A6-3670 APU,2216.0,1145.0,4,1
AMD A6-4400M APU,996.0,1016.0,1,2
AMD A6-4455M APU,811.0,798.0,1,2
AMD A6-5200 APU,1659.0,661.0,4,1
AMD A6-5345M APU,1122.0,1094.0,2,1
AMD A6-5350M APU,1207.0,1202.0,2,1
AMD A6-5357M APU,1219.0,1242.0,2,1
AMD A6-5400B APU,1465.0,1395.0,1,2
AMD A6-5400K APU,1282.0,1271.0,1,2
AMD A6-6310 APU,1671.0,734.0,4,1
AMD A6-6400B APU,1573.0,1597.0,1,2
AMD A6-6400K APU,1515.0,1447.0,1,2
AMD A6-6420B APU,1550.0,1629.0,1,2
AMD A6-6420K APU,1582.0,1553.0,2,1
AMD A6-7000 ,1002.0,840.0,2,1
AMD A6-7310 APU,1751.0,772.0,4,1
AMD A6-7400K APU,1680.0,1455.0,2,1
AMD A6-7470K,1799.0,1576.0,1,2
AMD A6-7480,1790.0,1524.0,2,1
AMD A6-8500P,1445.0,1253.0,2,1
AMD A6-8550,1762.0,1546.0,2,1
AMD A6-9200,1149.0,980.0,2,1
AMD A6-9210,1208.0,1064.0,2,1
AMD A6-9220,1320.0,1154.0,2,1
AMD A6-9220C,1053.0,995.0,2,1
AMD A6-9220e,960.0,854.0,2,1
AMD A6-9225,1335.0,1157.0,2,1
AMD A6-9230,1303.0,1124.0,2,1
AMD A6-9400,2717.0,1664.0,2,1
AMD A6-9500,1876.0,1617.0,2,1
AMD A6-9500E,1741.0,1387.0,2,1
AMD A8 PRO-7150B APU,1541.0,758.0,4,1
AMD A8 PRO-7600B APU,3023.0,1415.0,4,1
AMD A8-3500M APU,1391.0,800.0,4,1
AMD A8-3510MX APU,1631.0,898.0,4,1
AMD A8-3520M APU,1440.0,846.0,4,1
AMD A8-3530MX APU,1608.0,938.0,4,1
AMD A8-3550MX APU,1687.0,962.0,4,1
AMD A8-3800 APU,2051.0,1042.0,4,1
AMD A8-3820 APU,2181.0,1127.0,4,1
AMD A8-3850 APU,2421.0,1223.0,4,1
AMD A8-3870K APU,2369.0,1221.0,4,1
AMD A8-4500M APU,1694.0,917.0,2,2
AMD A8-4555M APU,1341.0,781.0,2,2
AMD A8-5500 APU,2611.0,1339.0,2,2
AMD A8-5500B APU,2615.0,1340.0,2,2
AMD A8-5545M APU,1628.0,866.0,4,1
AMD A8-5550M APU,1820.0,1002.0,4,1
AMD A8-5557M APU,1831.0,1069.0,4,1
AMD A8-5600K APU,2861.0,1431.0,4,1
AMD A8-6410 APU,1773.0,783.0,4,1
AMD A8-6500 APU,2553.0,1346.0,2,2
AMD A8-6500B APU,2391.0,1286.0,2,2
AMD A8-6500T APU,1983.0,1139.0,2,2
AMD A8-6600K APU,3009.0,1529.0,2,2
AMD A8-7050,1062.0,877.0,2,1
AMD A8-7100 APU,1654.0,835.0,4,1
AMD A8-7200P,2158.0,1039.0,4,1
AMD A8-7410 APU,1815.0,795.0,4,1
AMD A8-7500,3302.0,1406.0,2,2
AMD A8-7600 APU,3211.0,1440.0,2,2
AMD A8-7650K,3113.0,1394.0,2,2
