transaction_id,itemDescription
1808_2015-07-21,tropical fruit
2300_2015-09-19,pip fruit
1187_2015-12-12,other vegetables
4501_2015-05-08,other vegetables
2762_2015-03-20,whole milk
1340_2015-02-24,citrus fruit
1997_2015-07-21,frankfurter
4736_2015-07-21,butter
1959_2015-03-30,fruit/vegetable juice
2421_2015-09-02,chocolate
1513_2015-08-03,specialty bar
1905_2015-07-07,other vegetables
2810_2015-09-08,butter milk
1088_2015-11-30,tropical fruit
4976_2015-07-17,bottled water
4056_2015-06-12,yogurt
3611_2015-02-13,sausage
1420_2015-01-14,other vegetables
4286_2015-03-08,brown bread
4918_2015-01-27,yogurt
4783_2015-10-22,hamburger meat
3709_2015-10-26,root vegetables
4289_2015-10-08,pork
1559_2015-10-03,beef
2900_2015-04-11,pastry
1905_2015-02-21,fruit/vegetable juice
3527_2015-09-29,canned beer
1495_2015-01-09,root vegetables
3128_2015-04-20,sausage
3841_2015-07-19,berries
3903_2015-10-06,canned beer
2658_2015-10-16,butter milk
4272_2015-06-06,coffee
1120_2015-09-26,pastry
2676_2015-08-15,rolls/buns
1697_2015-05-21,misc. beverages
2507_2015-08-25,root vegetables
4620_2015-03-11,sausage
3365_2015-02-01,canned beer
2978_2015-06-05,ham
2910_2015-07-28,turkey
1061_2015-09-05,whole milk
3023_2015-07-28,rolls/buns
2185_2015-10-11,ham
3552_2015-06-16,rolls/buns
1967_2015-01-20,other vegetables
2874_2015-02-15,sausage
4177_2015-04-13,frankfurter
1663_2015-02-07,rolls/buns
1377_2015-03-14,curd cheese
4162_2015-12-22,red/blush wine
2270_2015-07-01,sausage
4829_2015-11-03,tropical fruit
3811_2015-04-14,red/blush wine
4766_2015-09-29,whole milk
2436_2015-04-12,frankfurter
4875_2015-05-12,frozen potato products
4038_2015-07-08,citrus fruit
4750_2015-09-21,flour
3111_2015-01-31,chocolate
3894_2015-12-13,root vegetables
1456_2015-09-18,root vegetables
2022_2015-03-04,herbs
2505_2015-11-30,bottled water
4851_2015-12-20,sausage
4293_2015-08-04,coffee
2775_2015-11-06,pork
3693_2015-02-18,berries
1202_2015-07-22,soda
4152_2015-04-15,fruit/vegetable juice
4155_2015-01-26,citrus fruit
4010_2015-12-29,pork
4389_2015-10-20,detergent
2560_2015-05-17,sausage
1503_2015-07-25,chicken
3886_2015-09-11,soda
2932_2015-03-20,sausage
1711_2015-06-18,frankfurter
4291_2015-12-08,sausage
1143_2015-04-25,soda
4564_2015-07-08,rolls/buns
4931_2015-05-04,whole milk
2623_2015-10-10,processed cheese
4581_2015-04-03,tropical fruit
2635_2015-06-11,frankfurter
1095_2015-10-30,packaged fruit/vegetables
2990_2015-05-23,whole milk
2426_2015-06-05,berries
4555_2015-11-07,citrus fruit
3635_2015-09-04,tropical fruit
3058_2015-05-18,hamburger meat
1024_2015-08-10,fish
1295_2015-07-23,frankfurter
1661_2015-06-01,packaged fruit/vegetables
4591_2015-05-15,pastry
3169_2015-06-14,other vegetables
3915_2015-05-21,misc. beverages
1127_2015-01-14,frankfurter
1971_2015-09-18,sausage
3014_2015-11-11,curd cheese
3779_2015-09-15,frankfurter
3564_2015-06-27,newspapers
4092_2015-09-30,berries
1279_2015-09-06,tropical fruit
2581_2015-08-22,soda
2295_2015-02-25,rolls/buns
3649_2015-01-16,canned beer
1075_2015-11-19,frankfurter
4338_2015-06-24,whole milk
4166_2015-11-06,citrus fruit
1211_2015-03-10,frankfurter
3928_2015-07-18,butter milk
4747_2015-06-08,other vegetables
3028_2015-06-09,sausage
2851_2015-03-16,rolls/buns
4417_2015-02-25,grapes
4554_2015-08-27,whole milk
3361_2015-03-05,tropical fruit
2614_2015-06-25,whole milk
4064_2015-06-05,frankfurter
1923_2015-02-14,beverages
4835_2015-02-19,hamburger meat
1514_2015-08-24,whole milk
3154_2015-06-22,finished products
1313_2015-12-25,other vegetables
2794_2015-07-18,ham
2359_2015-04-09,other vegetables
2238_2015-03-09,curd
3795_2015-01-17,bottled beer
3724_2015-11-26,curd
1152_2015-03-05,whole milk
4559_2015-03-16,whole milk
3922_2015-02-27,dessert
1709_2015-04-22,sausage
2219_2015-04-17,other vegetables
2206_2015-10-17,ham
1752_2015-04-06,other vegetables
3942_2015-11-10,other vegetables
2257_2015-02-05,herbs
4313_2015-07-28,frankfurter
2001_2015-08-21,rolls/buns
2449_2015-07-08,curd
4914_2015-04-12,frankfurter
2764_2015-07-24,other vegetables
3427_2015-04-28,curd
1411_2015-02-20,frankfurter
4787_2015-08-01,beef
3310_2015-01-17,canned beer
1782_2015-10-10,pork
2760_2015-01-07,sausage
4249_2015-09-13,canned beer
2904_2015-06-06,specialty chocolate
4090_2015-02-26,curd
3768_2015-10-07,whole milk
1360_2015-10-23,pork
2958_2015-06-14,rolls/buns
2448_2015-07-12,butter
1222_2015-09-24,condensed milk
2943_2015-06-20,sausage
2270_2015-08-11,whole milk
1482_2015-11-22,beverages
4720_2015-02-22,beverages
1344_2015-09-04,bottled water
2397_2015-10-04,newspapers
4182_2015-05-12,cleaner
4487_2015-07-10,sausage
3467_2015-12-24,newspapers
2443_2015-11-15,sausage
2749_2015-01-27,misc. beverages
4389_2015-04-13,white wine
4494_2015-01-06,ice cream
2460_2015-09-28,canned beer
4509_2015-11-29,tropical fruit
2267_2015-07-03,meat
4891_2015-09-05,whole milk
4964_2015-07-18,frankfurter
2914_2015-11-30,meat
3808_2015-08-18,whole milk
4149_2015-01-07,citrus fruit
2331_2015-06-05,citrus fruit
4475_2015-04-03,other vegetables
2761_2015-04-25,citrus fruit
2620_2015-12-14,sausage
3206_2015-10-13,frankfurter
1226_2015-04-13,hard cheese
1395_2015-03-07,cream cheese 
2465_2015-06-07,turkey
3572_2015-07-09,pork
4387_2015-05-08,whole milk
1181_2015-11-16,sausage
2814_2015-05-11,ice cream
2794_2015-09-16,liquor
2912_2015-01-28,pip fruit
4667_2015-01-12,root vegetables
2353_2015-05-02,soda
3449_2015-03-08,sausage
1027_2015-05-17,pork
2229_2015-05-30,chocolate
1547_2015-04-18,pickled vegetables
3254_2015-09-10,frankfurter
2818_2015-11-07,tropical fruit
2703_2015-05-08,canned beer
3332_2015-01-31,root vegetables
2810_2015-12-30,frankfurter
4222_2015-05-27,tropical fruit
3679_2015-09-21,citrus fruit
2212_2015-08-27,hamburger meat
1507_2015-06-22,chicken
2870_2015-01-21,chicken
4148_2015-04-09,canned beer
2970_2015-12-30,turkey
2013_2015-08-30,packaged fruit/vegetables
3935_2015-07-02,sausage
3283_2015-05-01,whole milk
3677_2015-04-30,citrus fruit
3495_2015-06-27,liquor (appetizer)
1410_2015-10-04,citrus fruit
2440_2015-06-06,sausage
4088_2015-01-13,chicken
2469_2015-09-23,hamburger meat
4229_2015-03-06,sausage
2728_2015-08-02,beef
2836_2015-12-29,UHT-milk
1311_2015-02-12,candy
1760_2015-01-23,newspapers
3656_2015-03-02,beef
3720_2015-05-28,sausage
2996_2015-09-26,frankfurter
2447_2015-12-28,onions
1952_2015-03-23,tropical fruit
4099_2015-01-27,bottled water
1510_2015-05-16,sausage
2879_2015-04-18,hair spray
4899_2015-03-12,chicken
4326_2015-09-29,pork
1670_2015-05-17,ice cream
1117_2015-05-24,meat
1346_2015-04-03,other vegetables
1178_2015-11-15,bottled water
1649_2015-06-25,tropical fruit
4651_2015-06-21,photo/film
4429_2015-07-21,grapes
4645_2015-07-25,domestic eggs
4019_2015-07-24,rolls/buns
4459_2015-04-26,tropical fruit
3006_2015-12-27,chicken
1834_2015-09-17,frankfurter
3236_2015-07-04,berries
1765_2015-03-11,margarine
3855_2015-03-09,tropical fruit
4392_2015-11-28,ham
3330_2015-07-26,hamburger meat
4110_2015-03-30,soda
2600_2015-01-28,yogurt
2946_2015-10-07,soda
2426_2015-09-08,bottled water
4170_2015-05-03,sausage
1109_2015-04-06,citrus fruit
3429_2015-01-04,shopping bags
2055_2015-02-04,newspapers
2441_2015-05-30,sausage
3939_2015-02-10,curd
1367_2015-08-05,other vegetables
2231_2015-10-17,frankfurter
3235_2015-12-28,root vegetables
4554_2015-07-16,tropical fruit
3245_2015-01-24,beef
2996_2015-05-19,berries
2507_2015-01-05,canned beer
3929_2015-04-28,root vegetables
3760_2015-11-22,whole milk
4928_2015-08-18,beef
4217_2015-12-18,frozen vegetables
1174_2015-02-11,rolls/buns
4103_2015-06-19,whole milk
4408_2015-03-13,whole milk
2588_2015-12-28,citrus fruit
2598_2015-11-11,pastry
2702_2015-04-08,tropical fruit
2838_2015-11-10,rolls/buns
1683_2015-05-26,root vegetables
4040_2015-04-03,yogurt
3897_2015-08-23,other vegetables
2200_2015-03-11,berries
4073_2015-01-29,berries
3700_2015-04-19,other vegetables
3973_2015-06-10,rolls/buns
3967_2015-11-23,whole milk
4002_2015-09-03,tropical fruit
2962_2015-03-01,bottled water
4340_2015-12-25,butter milk
2092_2015-11-06,newspapers
3143_2015-05-24,coffee
2209_2015-10-03,bottled beer
2816_2015-08-22,onions
2659_2015-06-01,hamburger meat
1144_2015-10-15,hard cheese
2166_2015-12-10,sausage
3300_2015-10-06,hamburger meat
3944_2015-01-03,onions
4979_2015-04-24,coffee
1743_2015-04-18,sliced cheese
2331_2015-02-15,sausage
1291_2015-03-20,domestic eggs
3675_2015-07-04,whole milk
4134_2015-11-06,meat
1363_2015-06-21,dish cleaner
4212_2015-05-01,other vegetables
1500_2015-03-21,whole milk
2622_2015-10-01,other vegetables
3543_2015-03-18,tropical fruit
1771_2015-03-23,frankfurter
4694_2015-02-06,canned beer
1122_2015-12-21,bottled water
3507_2015-08-12,other vegetables
4524_2015-04-26,citrus fruit
3262_2015-06-11,domestic eggs
1897_2015-01-25,pork
1656_2015-10-30,specialty cheese
3953_2015-01-10,pork
1652_2015-03-17,other vegetables
